interior_en_name,interior_ko_name,img_url
All Black,애쉬 우드 데코,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_black.png?&version=v0027d201912191150
Black/White,다크 우드 데코,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_white.png?&version=v0027d201912191150
Cream,오크 우드 데코,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_cream.png?&version=v0027d201912191150
All Black,블랙,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_black_cf.png?&version=v0027d201912191150
Black/White,블랙앤화이트,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_white_cf.png?&version=v0027d201912191150
All Black,null,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODEL3/UI/ui_swat_int_in3pb.png?&version=v0027d201912191150
Black & White,null,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODEL3/UI/ui_swat_int_white.png?&version=v0027d201912191150
All Black,애쉬 우드 데코,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_black.png?&version=v0027d201912191150
Black/White,다크 우드 데코,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_white.png?&version=v0027d201912191150
Cream,오크 우드 데코,https://static-assets.tesla.com/share/tesla_design_studio_assets/MODELS/UI/ui_bundle_cream.png?&version=v0027d201912191150